OSEBuildingID,proportionparking,Proportionbat,old_built,PropertyGFATotal,NumberofBuildings,NumberofFloors,mean_GFA_per_floor,prop_gfa_largest_property,diff_prop_gfa_largest_property_per_type,SteamUse(kBtu)_pct,Electricity(kBtu)_pct,NaturalGas(kBtu)_pct,Longitude,Latitude,SiteEnergyUseWN(kBtu),SiteEUIWN(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity,ENERGYSTARScore,BuildingType_NonResidential,BuildingType_Nonresidential COS,BuildingType_infrequent_sklearn,PrimaryPropertyType_Large Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Other,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Small- and Mid-Sized Office,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship Facility,PrimaryPropertyType_infrequent_sklearn,Neighborhood_lcaps_downtown,Neighborhood_lcaps_east,Neighborhood_lcaps_greater duwamish,Neighborhood_lcaps_lake union,Neighborhood_lcaps_magnolia / queen anne,Neighborhood_lcaps_northeast,Neighborhood_lcaps_northwest,Neighborhood_lcaps_infrequent_sklearn,LargestPropertyUseType_Non-Refrigerated Warehouse,LargestPropertyUseType_Office,LargestPropertyUseType_Other,LargestPropertyUseType_Retail Store,LargestPropertyUseType_Worship Facility,LargestPropertyUseType_infrequent_sklearn,BuildingType,PrimaryPropertyType,Neighborhood_lcaps,LargestPropertyUseType,BuildingType_cat,PrimaryPropertyType_cat,Neighborhood_lcaps_cat,LargestPropertyUseType_cat
35,0.2368074842859231,0.7631925157140769,38,68410,1.0,5,8701.666666666666,0.7015640988159626,-0.18389391902863061,0.0,0.5264751114834831,0.47352488851651686,-122.34186,47.61558,4557974.0,95.0,128.44,1.88,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,downtown,Hotel,0,2,3,10
38,0.0,1.0,110,87262,1.0,3,21815.5,0.46919621370126746,-0.3172102627692825,0.0,0.32630706815375116,0.6736929318462488,-122.33118,47.6641,4703690.0,69.80000305,157.77,1.81,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,NonResidential,Small- and Mid-Sized Office,lake union,Office,0,13,6,21
40,0.0,1.0,22,81871,1.0,4,16374.2,1.0,0.11454198215540679,0.0,0.4523308452429367,0.5476691547570632,-122.29965,47.66583,6731281.5,82.19999695,215.0,2.63,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,northeast,Hotel,0,2,9,10
41,0.0,1.0,61,110356,1.0,2,36785.333333333336,0.2376400014498532,-0.707626979237887,0.0,0.8834670896612379,0.11653291033876212,-122.29598,47.66172,326223.0938,12.39999962,3.93,0.04,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Self-Storage Facility,northeast,Self-Storage Facility,0,12,9,45
52,0.0,1.0,55,94900,1.0,2,31633.333333333332,0.5857323498419389,-0.20067412662861106,0.0,0.6937059814973375,0.3062940185026625,-122.38476,47.66587,6536359.5,68.90000153,130.56,1.38,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,NonResidential,Small- and Mid-Sized Office,ballard,Office,0,13,0,21
53,0.0,1.0,116,52554,1.0,2,17518.0,0.9709822278037827,0.18457575133323278,0.0,0.53526663054737,0.46473336945263,-122.31132,47.58034,3150635.5,53.5,83.86,1.6,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,NonResidential,Small- and Mid-Sized Office,greater duwamish,Office,0,13,5,21
54,0.0,1.0,62,175015,1.0,3,43753.75,1.0,-0.015007101684008761,0.0,0.38310773524105257,0.6168922647589474,-122.33553,47.68891,7886505.5,45.09999847,247.85,1.42,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,K-12 School,northwest,K-12 School,0,3,10,11
55,0.0,1.0,105,70586,1.0,3,17646.5,0.5445697447085824,-0.40069723597915774,0.0,0.69499158956912,0.30500841043087995,-122.35129,47.61351,2331573.25,33.09999847,45.43,0.64,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Self-Storage Facility,downtown,Self-Storage Facility,0,12,3,45
57,0.0,1.0,43,168115,1.0,5,28019.166666666668,0.6148291348184278,-0.17157734165212213,0.0,1.0,0.0,-122.33659,47.6113,9536161.0,56.29999924,66.48,0.4,78.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,NonResidential,Large Office,downtown,Office,0,5,3,21
58,0.0,1.0,96,57428,1.0,2,19142.666666666668,0.9010761301107474,0.18432554160569492,0.0,0.5731607985492584,0.42683920145074167,-122.33765,47.61076,1239429.75,21.60000038,33.26,0.58,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Other,downtown,Other - Mall,0,8,3,26
59,0.0,1.0,106,59400,1.0,8,6600.0,0.5883333333333334,-0.19807314313721658,0.0,1.0,0.0,-122.33794,47.61048,5242479.5,88.30000305,35.36,0.6,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,NonResidential,Small- and Mid-Sized Office,downtown,Office,0,13,3,21
62,0.10182087312691364,0.8981791268730863,86,98634,1.0,20,4218.619047619048,0.8474866678832856,-0.03797134996130758,0.0,0.8861292115603364,0.11387078843966358,-122.33432,47.61233,5078816.0,57.29999924,59.19,0.6,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,downtown,Hotel,0,2,3,10
65,0.0,1.0,31,71150,1.0,7,8893.75,0.5810260014054813,-0.3044320164391119,0.0,0.6065282702492077,0.3934717297507922,-122.34138,47.60997,5348309.0,93.09999847,134.38,1.89,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,downtown,Hotel,0,2,3,10
